city,date,rate,district
Silvassa,2016-06-01,63.91,Dadra and Nagar Haveli
Silvassa,2016-06-15,63.96,Dadra and Nagar Haveli
Silvassa,2016-07-01,63.09,Dadra and Nagar Haveli
Silvassa,2016-07-15,60.93,Dadra and Nagar Haveli
Silvassa,2016-08-01,59.61,Dadra and Nagar Haveli
Silvassa,2016-08-15,58.65,Dadra and Nagar Haveli
Silvassa,2016-09-01,61.9,Dadra and Nagar Haveli
Silvassa,2016-09-15,62.64,Dadra and Nagar Haveli
Silvassa,2016-10-01,62.99,Dadra and Nagar Haveli
Silvassa,2016-10-05,63.13,Dadra and Nagar Haveli
Silvassa,2016-10-15,64.8,Dadra and Nagar Haveli
Silvassa,2016-11-06,65.96,Dadra and Nagar Haveli
Silvassa,2016-11-16,64.33,Dadra and Nagar Haveli
Silvassa,2016-12-01,64.5,Dadra and Nagar Haveli
Silvassa,2016-12-17,67.24,Dadra and Nagar Haveli
Silvassa,2017-01-01,68.83,Dadra and Nagar Haveli
Silvassa,2017-01-16,69.35,Dadra and Nagar Haveli
Silvassa,2017-04-01,64.78,Dadra and Nagar Haveli
Silvassa,2017-04-16,66.49,Dadra and Nagar Haveli
Silvassa,2017-05-01,66.5,Dadra and Nagar Haveli
Silvassa,2017-05-16,63.86,Dadra and Nagar Haveli
Silvassa,2017-06-01,65.39,Dadra and Nagar Haveli
Silvassa,2017-06-16,63.91,Dadra and Nagar Haveli
Silvassa,2017-06-19,63.11,Dadra and Nagar Haveli
Silvassa,2017-06-21,63.01,Dadra and Nagar Haveli
Silvassa,2017-06-22,62.87,Dadra and Nagar Haveli
Silvassa,2017-06-23,62.66,Dadra and Nagar Haveli
Silvassa,2017-06-26,62.05,Dadra and Nagar Haveli
Silvassa,2017-06-27,61.93,Dadra and Nagar Haveli
Silvassa,2017-06-28,61.97,Dadra and Nagar Haveli
Silvassa,2017-06-29,61.93,Dadra and Nagar Haveli
Silvassa,2017-06-30,61.82,Dadra and Nagar Haveli
Silvassa,2017-07-03,61.63,Dadra and Nagar Haveli
Silvassa,2017-07-04,61.54,Dadra and Nagar Haveli
Silvassa,2017-07-05,61.59,Dadra and Nagar Haveli
Silvassa,2017-07-06,61.65,Dadra and Nagar Haveli
Silvassa,2017-07-07,61.78,Dadra and Nagar Haveli
Silvassa,2017-07-10,62.31,Dadra and Nagar Haveli
Silvassa,2017-07-11,62.36,Dadra and Nagar Haveli
Silvassa,2017-07-12,62.4,Dadra and Nagar Haveli
Silvassa,2017-07-13,62.34,Dadra and Nagar Haveli
Silvassa,2017-07-14,62.32,Dadra and Nagar Haveli
Silvassa,2017-07-17,62.61,Dadra and Nagar Haveli
Silvassa,2017-07-18,62.62,Dadra and Nagar Haveli
Silvassa,2017-07-19,62.67,Dadra and Nagar Haveli
Silvassa,2017-07-20,62.71,Dadra and Nagar Haveli
Silvassa,2017-07-21,62.69,Dadra and Nagar Haveli
Silvassa,2017-07-24,62.98,Dadra and Nagar Haveli
Silvassa,2017-07-25,63.02,Dadra and Nagar Haveli
Silvassa,2017-07-26,62.98,Dadra and Nagar Haveli
Silvassa,2017-07-27,62.99,Dadra and Nagar Haveli
Silvassa,2017-07-28,63.09,Dadra and Nagar Haveli
Silvassa,2017-07-31,63.64,Dadra and Nagar Haveli
Silvassa,2017-08-01,63.76,Dadra and Nagar Haveli
Silvassa,2017-08-02,63.78,Dadra and Nagar Haveli
Silvassa,2017-08-04,64.29,Dadra and Nagar Haveli
Silvassa,2017-08-07,64.97,Dadra and Nagar Haveli
Silvassa,2017-08-08,65.01,Dadra and Nagar Haveli
Silvassa,2017-08-09,65.07,Dadra and Nagar Haveli
Silvassa,2017-08-10,65.21,Dadra and Nagar Haveli
Silvassa,2017-08-11,65.51,Dadra and Nagar Haveli
Silvassa,2017-08-14,66.21,Dadra and Nagar Haveli
Silvassa,2017-08-16,66.35,Dadra and Nagar Haveli
Silvassa,2017-08-17,66.45,Dadra and Nagar Haveli
Silvassa,2017-08-18,66.5,Dadra and Nagar Haveli
Silvassa,2017-08-21,66.78,Dadra and Nagar Haveli
Silvassa,2017-08-22,66.85,Dadra and Nagar Haveli
Silvassa,2017-08-23,66.96,Dadra and Nagar Haveli
Silvassa,2017-08-24,67.06,Dadra and Nagar Haveli
Silvassa,2017-08-28,67.31,Dadra and Nagar Haveli
Silvassa,2017-08-29,67.29,Dadra and Nagar Haveli
Silvassa,2017-08-30,67.33,Dadra and Nagar Haveli
Silvassa,2017-08-31,67.36,Dadra and Nagar Haveli
Silvassa,2017-09-01,67.43,Dadra and Nagar Haveli
Silvassa,2017-09-04,67.79,Dadra and Nagar Haveli
Silvassa,2017-09-05,67.86,Dadra and Nagar Haveli
Silvassa,2017-09-07,67.95,Dadra and Nagar Haveli
Silvassa,2017-09-08,68.03,Dadra and Nagar Haveli
Silvassa,2017-09-11,68.4,Dadra and Nagar Haveli
Silvassa,2017-09-12,68.5,Dadra and Nagar Haveli
Silvassa,2017-09-13,68.47,Dadra and Nagar Haveli
Silvassa,2017-09-14,68.52,Dadra and Nagar Haveli
Silvassa,2017-09-15,68.56,Dadra and Nagar Haveli
Silvassa,2017-09-19,68.61,Dadra and Nagar Haveli
Silvassa,2017-09-20,68.64,Dadra and Nagar Haveli
Silvassa,2017-09-21,68.61,Dadra and Nagar Haveli
Silvassa,2017-09-22,68.59,Dadra and Nagar Haveli
Silvassa,2017-09-25,68.51,Dadra and Nagar Haveli
Silvassa,2017-09-26,68.54,Dadra and Nagar Haveli
Silvassa,2017-09-27,68.51,Dadra and Nagar Haveli
Silvassa,2017-09-28,68.58,Dadra and Nagar Haveli
Silvassa,2017-09-29,68.68,Dadra and Nagar Haveli
Silvassa,2017-10-03,68.95,Dadra and Nagar Haveli
Silvassa,2017-10-04,66.58,Dadra and Nagar Haveli
Silvassa,2017-10-05,66.55,Dadra and Nagar Haveli
Silvassa,2017-10-06,66.56,Dadra and Nagar Haveli
Silvassa,2017-10-09,66.61,Dadra and Nagar Haveli
Silvassa,2017-10-10,66.65,Dadra and Nagar Haveli
Silvassa,2017-10-11,66.68,Dadra and Nagar Haveli
Silvassa,2017-10-12,66.61,Dadra and Nagar Haveli
Silvassa,2017-10-13,66.63,Dadra and Nagar Haveli
Silvassa,2017-10-16,66.46,Dadra and Nagar Haveli
Silvassa,2017-10-17,66.43,Dadra and Nagar Haveli
Silvassa,2017-10-18,66.47,Dadra and Nagar Haveli
Silvassa,2017-10-24,66.76,Dadra and Nagar Haveli
Silvassa,2017-10-25,66.81,Dadra and Nagar Haveli
Silvassa,2017-10-26,66.84,Dadra and Nagar Haveli
Silvassa,2017-10-30,67.21,Dadra and Nagar Haveli
Silvassa,2017-10-31,67.31,Dadra and Nagar Haveli
Silvassa,2017-11-01,67.29,Dadra and Nagar Haveli
Silvassa,2017-11-02,67.4,Dadra and Nagar Haveli
Silvassa,2017-11-03,67.49,Dadra and Nagar Haveli
Silvassa,2017-11-06,67.9,Dadra and Nagar Haveli
Silvassa,2017-11-07,67.93,Dadra and Nagar Haveli
Silvassa,2017-11-09,67.98,Dadra and Nagar Haveli
Silvassa,2017-11-10,68.05,Dadra and Nagar Haveli
Silvassa,2017-11-13,67.98,Dadra and Nagar Haveli
Silvassa,2017-11-14,67.86,Dadra and Nagar Haveli
Silvassa,2017-11-15,67.81,Dadra and Nagar Haveli
Silvassa,2017-11-16,67.78,Dadra and Nagar Haveli
Silvassa,2017-11-17,67.75,Dadra and Nagar Haveli
Silvassa,2017-11-20,67.72,Dadra and Nagar Haveli
Silvassa,2017-11-21,67.67,Dadra and Nagar Haveli
Silvassa,2017-11-22,67.62,Dadra and Nagar Haveli
Silvassa,2017-11-23,67.57,Dadra and Nagar Haveli
Silvassa,2017-11-24,67.55,Dadra and Nagar Haveli
Silvassa,2017-11-27,67.5,Dadra and Nagar Haveli
Silvassa,2017-11-28,67.41,Dadra and Nagar Haveli
Silvassa,2017-11-29,67.48,Dadra and Nagar Haveli
Silvassa,2017-11-30,67.39,Dadra and Nagar Haveli
Silvassa,2017-12-01,67.37,Dadra and Nagar Haveli
